序号,起点,终点,日期,热度,汽车占比（%）,火车占比（%）,飞机占比（%）,类型
1, 重庆, 北京, 2017-09-01,45.8,1,28,71,迁入
2, 上海, 北京, 2017-09-01,44.2,14,45,41,迁入
3, 长沙, 北京, 2017-09-01,36.5,0,60,40,迁入
4, 武汉, 北京, 2017-09-01,31.4,14,70,16,迁入
5, 廊坊, 北京, 2017-09-01,30.5,51,49,0,迁入
6, 杭州, 北京, 2017-09-01,28.1,11,50,39,迁入
7, 保定, 北京, 2017-09-01,23.8,33,67,0,迁入
8, 天津, 北京, 2017-09-01,23.8,28,72,0,迁入
9, 哈尔滨, 北京, 2017-09-01,23.4,9,59,32,迁入
10, 西安, 北京, 2017-09-01,21.8,17,63,20,迁入
11, 北京, 杭州, 2017-09-01,29.7,12,56,32,迁入
12, 重庆, 杭州, 2017-09-01,23.9,5,39,56,迁入
13, 贵阳, 杭州, 2017-09-01,21.9,0,36,64,迁入
14, 上海, 杭州, 2017-09-01,21.9,29,71,0,迁入
15, 南宁, 杭州, 2017-09-01,21.7,0,36,64,迁入
16, 嘉兴, 杭州, 2017-09-01,20.8,52,48,0,迁入
17, 绍兴, 杭州, 2017-09-01,19.8,47,53,0,迁入
18, 广州, 杭州, 2017-09-01,19.2,11,24,65,迁入
19, 金华, 杭州, 2017-09-01,16.8,38,62,0,迁入
20, 宁波, 杭州, 2017-09-01,16.6,34,66,0,迁入
21, 佛山, 广州, 2017-09-01,41.4,42,58,0,迁入
22, 上海, 广州, 2017-09-01,34.5,5,24,71,迁入
23, 成都, 广州, 2017-09-01,30.5,0,24,76,迁入
24, 东莞, 广州, 2017-09-01,30.4,52,48,0,迁入
25, 深圳, 广州, 2017-09-01,29.8,39,61,0,迁入
26, 郑州, 广州, 2017-09-01,23.3,0,72,28,迁入
27, 昆明, 广州, 2017-09-01,21.3,14,29,57,迁入
28, 武汉, 广州, 2017-09-01,20.8,12,75,13,迁入
29, 西安, 广州, 2017-09-01,20.5,0,45,55,迁入
30, 清远, 广州, 2017-09-01,20.2,49,51,0,迁入
31, 上海, 重庆, 2017-09-01,48.8,0,37,63,迁入
32, 北京, 重庆, 2017-09-01,44,1,32,67,迁入
33, 杭州, 重庆, 2017-09-01,26.3,3,34,63,迁入
34, 成都, 重庆, 2017-09-01,25.9,31,69,0,迁入
35, 宁波, 重庆, 2017-09-01,25.7,0,45,55,迁入
36, 天津, 重庆, 2017-09-01,25.1,0,26,74,迁入
37, 苏州, 重庆, 2017-09-01,23.5,5,57,38,迁入
38, 深圳, 重庆, 2017-09-01,21.2,20,13,67,迁入
39, 南京, 重庆, 2017-09-01,21.2,5,50,45,迁入
40, 拉萨, 重庆, 2017-09-01,20.7,0,23,77,迁入
41, 咸阳, 西安, 2017-09-01,31.9,40,60,0,迁入
42, 渭南, 西安, 2017-09-01,26.2,34,66,0,迁入
43, 深圳, 西安, 2017-09-01,24.9,0,36,64,迁入
44, 上海, 西安, 2017-09-01,23.5,1,41,58,迁入
45, 北京, 西安, 2017-09-01,21.3,16,62,22,迁入
46, 广州, 西安, 2017-09-01,20.6,0,42,58,迁入
47, 宝鸡, 西安, 2017-09-01,20,26,74,0,迁入
48, 延安, 西安, 2017-09-01,20,29,71,0,迁入
49, 榆林, 西安, 2017-09-01,19.4,23,74,3,迁入
50, 兰州, 西安, 2017-09-01,16.6,12,88,0,迁入
51, 东莞, 深圳, 2017-09-01,39.9,68,32,0,迁入
52, 上海, 深圳, 2017-09-01,34.3,3,24,73,迁入
53, 成都, 深圳, 2017-09-01,31.6,0,24,76,迁入
54, 惠州, 深圳, 2017-09-01,26.4,59,41,0,迁入
55, 广州, 深圳, 2017-09-01,25.8,40,60,0,迁入
56, 西安, 深圳, 2017-09-01,22.4,0,40,60,迁入
57, 重庆, 深圳, 2017-09-01,21.1,21,11,68,迁入
58, 咸阳, 深圳, 2017-09-01,18.2,0,15,85,迁入
59, 郑州, 深圳, 2017-09-01,18.1,0,47,53,迁入
60, 昆明, 深圳, 2017-09-01,17.6,11,22,67,迁入
61, 深圳, 成都, 2017-09-01,32.2,0,22,78,迁入
62, 广州, 成都, 2017-09-01,30,0,28,72,迁入
63, 重庆, 成都, 2017-09-01,29,28,72,0,迁入
64, 南京, 成都, 2017-09-01,27.9,0,43,57,迁入
65, 德阳, 成都, 2017-09-01,24,44,56,0,迁入
66, 南充, 成都, 2017-09-01,23.9,35,65,0,迁入
67, 绵阳, 成都, 2017-09-01,23.6,34,66,0,迁入
68, 达州, 成都, 2017-09-01,23,21,79,0,迁入
69, 资阳, 成都, 2017-09-01,22.4,48,52,0,迁入
70, 眉山, 成都, 2017-09-01,21.8,55,45,0,迁入
71, 北京, 哈尔滨, 2017-09-01,25.3,9,63,28,迁入
72, 天津, 哈尔滨, 2017-09-01,18.4,6,67,27,迁入
73, 绥化, 哈尔滨, 2017-09-01,17.2,41,59,0,迁入
74, 齐齐哈尔, 哈尔滨, 2017-09-01,15.6,22,78,0,迁入
75, 济南, 哈尔滨, 2017-09-01,15,0,39,61,迁入
76, 大庆, 哈尔滨, 2017-09-01,13.9,33,67,0,迁入
77, 青岛, 哈尔滨, 2017-09-01,13.8,14,21,65,迁入
78, 秦皇岛, 哈尔滨, 2017-09-01,13.8,4,94,2,迁入
79, 沈阳, 哈尔滨, 2017-09-01,13.7,11,89,0,迁入
80, 石家庄, 哈尔滨, 2017-09-01,13.4,0,51,49,迁入
81, 重庆, 上海, 2017-09-01,44.8,0,33,67,迁入
82, 北京, 上海, 2017-09-01,43.4,18,44,38,迁入
83, 深圳, 上海, 2017-09-01,36,3,26,71,迁入
84, 苏州, 上海, 2017-09-01,33.4,60,40,0,迁入
85, 广州, 上海, 2017-09-01,30.5,6,26,68,迁入
86, 长春, 上海, 2017-09-01,26.9,0,23,77,迁入
87, 西安, 上海, 2017-09-01,24.1,1,41,58,迁入
88, 沈阳, 上海, 2017-09-01,20.8,12,16,72,迁入
89, 杭州, 上海, 2017-09-01,19.9,28,72,0,迁入
90, 南京, 上海, 2017-09-01,19,19,80,1,迁入
91, 北京, 武汉, 2017-09-01,35.2,10,76,14,迁入
92, 昆明, 武汉, 2017-09-01,29.5,0,38,62,迁入
93, 黄冈, 武汉, 2017-09-01,25.4,39,61,0,迁入
94, 孝感, 武汉, 2017-09-01,24.5,38,62,0,迁入
95, 成都, 武汉, 2017-09-01,23.5,11,69,20,迁入
96, 沈阳, 武汉, 2017-09-01,22.6,0,40,60,迁入
97, 三亚, 武汉, 2017-09-01,21.9,0,19,81,迁入
98, 襄阳, 武汉, 2017-09-01,21.8,17,83,0,迁入
99, 广州, 武汉, 2017-09-01,21.5,12,76,12,迁入
100, 深圳, 武汉, 2017-09-01,21.4,14,75,11,迁入
101, 成都, 南京, 2017-09-01,35.3,0,57,43,迁入
102, 重庆, 南京, 2017-09-01,28.1,7,54,39,迁入
103, 北京, 南京, 2017-09-01,26,11,78,11,迁入
104, 贵阳, 南京, 2017-09-01,25.1,0,37,63,迁入
105, 南宁, 南京, 2017-09-01,22.8,0,37,63,迁入
106, 上海, 南京, 2017-09-01,22,20,80,0,迁入
107, 长春, 南京, 2017-09-01,21.7,0,22,78,迁入
108, 兰州, 南京, 2017-09-01,21.1,0,44,56,迁入
109, 苏州, 南京, 2017-09-01,20.9,28,72,0,迁入
110, 广州, 南京, 2017-09-01,20,14,19,67,迁入
111, 重庆, 天津, 2017-09-01,28,0,28,72,迁入
112, 北京, 天津, 2017-09-01,27.9,27,73,0,迁入
113, 福州, 天津, 2017-09-01,20.6,0,40,60,迁入
114, 哈尔滨, 天津, 2017-09-01,17.9,8,70,22,迁入
