序号,起点,终点,日期,热度,汽车占比（%）,火车占比（%）,飞机占比（%）,类型
1, 北京, 重庆, 2017-09-01,44,1,32,67,迁出
2, 北京, 上海, 2017-09-01,43.4,18,44,38,迁出
3, 北京, 长沙, 2017-09-01,36.9,0,60,40,迁出
4, 北京, 廊坊, 2017-09-01,36.4,49,51,0,迁出
5, 北京, 武汉, 2017-09-01,35.2,10,76,14,迁出
6, 北京, 保定, 2017-09-01,32.6,32,68,0,迁出
7, 北京, 杭州, 2017-09-01,29.7,12,56,32,迁出
8, 北京, 天津, 2017-09-01,27.9,27,73,0,迁出
9, 北京, 南京, 2017-09-01,26,11,78,11,迁出
10, 北京, 哈尔滨, 2017-09-01,25.3,9,63,28,迁出
11, 杭州, 北京, 2017-09-01,28.1,11,50,39,迁出
12, 杭州, 重庆, 2017-09-01,26.3,3,34,63,迁出
13, 杭州, 绍兴, 2017-09-01,22.1,46,54,0,迁出
14, 杭州, 嘉兴, 2017-09-01,21.9,54,46,0,迁出
15, 杭州, 南宁, 2017-09-01,21.1,0,42,58,迁出
16, 杭州, 上海, 2017-09-01,19.9,28,72,0,迁出
17, 杭州, 贵阳, 2017-09-01,19.4,0,25,75,迁出
18, 杭州, 广州, 2017-09-01,18.1,12,18,70,迁出
19, 杭州, 金华, 2017-09-01,17.4,37,63,0,迁出
20, 杭州, 湖州, 2017-09-01,16.3,52,48,0,迁出
21, 广州, 佛山, 2017-09-01,42.5,41,59,0,迁出
22, 广州, 上海, 2017-09-01,30.5,6,26,68,迁出
23, 广州, 成都, 2017-09-01,30,0,28,72,迁出
24, 广州, 东莞, 2017-09-01,28,55,45,0,迁出
25, 广州, 深圳, 2017-09-01,25.8,40,60,0,迁出
26, 广州, 武汉, 2017-09-01,21.5,12,76,12,迁出
27, 广州, 清远, 2017-09-01,21.4,47,53,0,迁出
28, 广州, 郑州, 2017-09-01,20.9,0,69,31,迁出
29, 广州, 西安, 2017-09-01,20.6,0,42,58,迁出
30, 广州, 南京, 2017-09-01,20,14,19,67,迁出
31, 重庆, 北京, 2017-09-01,45.8,1,28,71,迁出
32, 重庆, 上海, 2017-09-01,44.8,0,33,67,迁出
33, 重庆, 成都, 2017-09-01,29,28,72,0,迁出
34, 重庆, 南京, 2017-09-01,28.1,7,54,39,迁出
35, 重庆, 天津, 2017-09-01,28,0,28,72,迁出
36, 重庆, 杭州, 2017-09-01,23.9,5,39,56,迁出
37, 重庆, 青岛, 2017-09-01,23.3,0,35,65,迁出
38, 重庆, 苏州, 2017-09-01,22.8,2,61,37,迁出
39, 重庆, 深圳, 2017-09-01,21.1,21,11,68,迁出
40, 重庆, 武汉, 2017-09-01,20.6,15,79,6,迁出
41, 西安, 咸阳, 2017-09-01,33.6,40,60,0,迁出
42, 西安, 上海, 2017-09-01,24.1,1,41,58,迁出
43, 西安, 渭南, 2017-09-01,23.7,35,65,0,迁出
44, 西安, 深圳, 2017-09-01,22.4,0,40,60,迁出
45, 西安, 北京, 2017-09-01,21.8,17,63,20,迁出
46, 西安, 广州, 2017-09-01,20.5,0,45,55,迁出
47, 西安, 宝鸡, 2017-09-01,18.4,30,70,0,迁出
48, 西安, 杭州, 2017-09-01,14.7,17,27,56,迁出
49, 西安, 昆明, 2017-09-01,13.7,12,14,74,迁出
50, 西安, 延安, 2017-09-01,13.5,31,69,0,迁出
51, 深圳, 东莞, 2017-09-01,41,67,33,0,迁出
52, 深圳, 上海, 2017-09-01,36,3,26,71,迁出
53, 深圳, 成都, 2017-09-01,32.2,0,22,78,迁出
54, 深圳, 惠州, 2017-09-01,30.1,57,43,0,迁出
55, 深圳, 广州, 2017-09-01,29.8,39,61,0,迁出
56, 深圳, 西安, 2017-09-01,24.9,0,36,64,迁出
57, 深圳, 郑州, 2017-09-01,23.1,0,41,59,迁出
58, 深圳, 武汉, 2017-09-01,21.4,14,75,11,迁出
59, 深圳, 重庆, 2017-09-01,21.2,20,13,67,迁出
60, 深圳, 南京, 2017-09-01,19.6,14,12,74,迁出
61, 成都, 南京, 2017-09-01,35.3,0,57,43,迁出
62, 成都, 深圳, 2017-09-01,31.6,0,24,76,迁出
63, 成都, 广州, 2017-09-01,30.5,0,24,76,迁出
64, 成都, 重庆, 2017-09-01,25.9,31,69,0,迁出
65, 成都, 德阳, 2017-09-01,25.5,45,55,0,迁出
66, 成都, 武汉, 2017-09-01,23.5,11,69,20,迁出
67, 成都, 眉山, 2017-09-01,23.1,56,44,0,迁出
68, 成都, 绵阳, 2017-09-01,22.7,34,66,0,迁出
69, 成都, 资阳, 2017-09-01,21.3,48,52,0,迁出
70, 成都, 济南, 2017-09-01,21.2,0,30,70,迁出
71, 哈尔滨, 北京, 2017-09-01,23.4,9,59,32,迁出
72, 哈尔滨, 天津, 2017-09-01,17.9,8,70,22,迁出
73, 哈尔滨, 绥化, 2017-09-01,17.8,41,59,0,迁出
74, 哈尔滨, 济南, 2017-09-01,15.6,0,32,68,迁出
75, 哈尔滨, 青岛, 2017-09-01,14.4,12,27,61,迁出
76, 哈尔滨, 石家庄, 2017-09-01,14.1,0,44,56,迁出
77, 哈尔滨, 大庆, 2017-09-01,13.8,32,68,0,迁出
78, 哈尔滨, 齐齐哈尔, 2017-09-01,13,22,78,0,迁出
79, 哈尔滨, 沈阳, 2017-09-01,12.7,13,87,0,迁出
80, 哈尔滨, 长春, 2017-09-01,12.7,26,74,0,迁出
81, 上海, 重庆, 2017-09-01,48.8,0,37,63,迁出
82, 上海, 北京, 2017-09-01,44.2,14,45,41,迁出
83, 上海, 苏州, 2017-09-01,36.8,58,42,0,迁出
84, 上海, 广州, 2017-09-01,34.5,5,24,71,迁出
85, 上海, 深圳, 2017-09-01,34.3,3,24,73,迁出
86, 上海, 长春, 2017-09-01,27.7,0,20,80,迁出
87, 上海, 西安, 2017-09-01,23.5,1,41,58,迁出
88, 上海, 南京, 2017-09-01,22,20,80,0,迁出
89, 上海, 杭州, 2017-09-01,21.9,29,71,0,迁出
90, 上海, 沈阳, 2017-09-01,20.9,12,16,72,迁出
91, 武汉, 北京, 2017-09-01,31.4,14,70,16,迁出
92, 武汉, 孝感, 2017-09-01,23.5,41,59,0,迁出
93, 武汉, 黄冈, 2017-09-01,22,41,59,0,迁出
94, 武汉, 昆明, 2017-09-01,21.4,0,39,61,迁出
95, 武汉, 广州, 2017-09-01,20.8,12,75,13,迁出
96, 武汉, 成都, 2017-09-01,18.9,16,57,27,迁出
97, 武汉, 沈阳, 2017-09-01,18.7,0,46,54,迁出
98, 武汉, 重庆, 2017-09-01,17.1,16,73,11,迁出
99, 武汉, 深圳, 2017-09-01,17,16,66,18,迁出
100, 武汉, 上海, 2017-09-01,16.5,15,63,22,迁出
101, 南京, 成都, 2017-09-01,27.9,0,43,57,迁出
102, 南京, 北京, 2017-09-01,21.5,14,75,11,迁出
103, 南京, 重庆, 2017-09-01,21.2,5,50,45,迁出
104, 南京, 镇江, 2017-09-01,19.5,37,63,0,迁出
105, 南京, 上海, 2017-09-01,19,19,80,1,迁出
106, 南京, 南宁, 2017-09-01,17.2,0,41,59,迁出
107, 南京, 苏州, 2017-09-01,17,27,73,0,迁出
108, 南京, 广州, 2017-09-01,17,14,16,70,迁出
109, 南京, 长春, 2017-09-01,16.6,0,28,72,迁出
110, 南京, 深圳, 2017-09-01,16.5,14,11,75,迁出
111, 天津, 重庆, 2017-09-01,25.1,0,26,74,迁出
112, 天津, 北京, 2017-09-01,23.8,28,72,0,迁出
113, 天津, 长沙, 2017-09-01,18.6,0,28,72,迁出
